,GEO,Value
307,DE925,228.0
308,DE926,103.4
309,DE927,86.2
310,DE928,231.4
311,DE929,496.8
312,DE931,113.7
313,DE932,96.5
314,DE933,197.0
315,DE934,40.0
316,DE935,135.0
317,DE936,172.1
318,DE937,78.0
319,DE938,72.4
320,DE939,165.8
321,DE93A,63.2
322,DE93B,169.4
323,DE941,1200.5
324,DE942,457.8
325,DE943,1571.2
326,DE944,1305.1
327,DE945,727.2
328,DE946,164.9
329,DE947,146.6
330,DE948,114.0
331,DE949,109.5
332,DE94A,160.1
333,DE94B,136.6
334,DE94C,154.9
335,DE94D,118.8
336,DE94E,165.6
337,DE94F,166.1
338,DE94G,110.2
339,DE94H,86.2
340,DEA11,2920.4
341,DEA12,2271.8
342,DEA13,2762.5
343,DEA14,1646.5
344,DEA15,1506.7
345,DEA16,1833.8
346,DEA17,2716.8
347,DEA18,1472.7
348,DEA19,1736.3
349,DEA1A,2050.3
350,DEA1B,252.1
351,DEA1C,1184.1
352,DEA1D,780.1
353,DEA1E,527.7
354,DEA1F,454.9
355,DEA22,2298.7
356,DEA23,2681.5
357,DEA24,2120.8
358,DEA26,277.0
359,DEA27,654.3
360,DEA28,151.0
361,DEA29,397.4
362,DEA2A,297.2
363,DEA2B,644.3
364,DEA2C,510.5
365,DEA2D,778.3
366,DEA31,1160.4
367,DEA32,2454.8
368,DEA33,996.5
369,DEA34,257.0
370,DEA35,194.1
371,DEA36,814.7
372,DEA37,242.8
373,DEA38,207.1
374,DEA41,1271.5
375,DEA42,365.1
376,DEA43,553.6
377,DEA44,119.0
378,DEA45,277.5
379,DEA46,271.5
380,DEA47,240.4
381,DEA51,2495.2
382,DEA52,2065.1
383,DEA53,1172.1
384,DEA54,780.2
385,DEA55,3029.7
386,DEA56,793.2
387,DEA57,133.9
388,DEA58,392.6
389,DEA59,191.6
390,DEA5A,243.5
391,DEA5B,224.6
392,DEA5C,721.4
393,DEB11,1110.4
394,DEB12,162.0
395,DEB13,199.8
396,DEB14,180.1
397,DEB15,103.9
398,DEB16,87.0
399,DEB17,260.4
400,DEB18,289.8
401,DEB19,105.3
402,DEB1A,156.7
403,DEB1B,201.7
404,DEB1C,88.2
405,DEB1D,105.6
406,DEB21,946.1
407,DEB22,95.7
408,DEB23,59.2
409,DEB24,66.7
410,DEB25,132.5
411,DEB31,1105.3
412,DEB32,694.8
413,DEB33,531.9
414,DEB34,2169.0
415,DEB35,2164.5
416,DEB36,448.6
417,DEB37,656.9
418,DEB38,1310.5
419,DEB39,768.1
420,DEB3A,479.5
421,DEB3B,215.1
422,DEB3C,220.6
423,DEB3D,116.4
424,DEB3E,279.7
425,DEB3F,162.8
426,DEB3G,123.7
427,DEB3H,170.9
428,DEB3I,508.7
429,DEB3J,345.1
430,DEB3K,101.2
431,DEC01,792.7
432,DEC02,186.0
433,DEC03,532.5
434,DEC04,427.5
435,DEC05,343.8
436,DEC06,186.5
437,DED21,1646.7
438,DED2C,133.4
439,DED2D,126.8
440,DED2E,169.6
441,DED2F,149.5
442,DED41,1098.5
443,DED42,192.4
444,DED43,148.4
445,DED44,166.0
446,DED45,343.6
447,DED51,1836.2
448,DED52,160.3
449,DED53,98.7
450,DEE01,347.2
451,DEE02,1731.5
452,DEE03,1206.6
453,DEE04,37.7
454,DEE05,117.0
455,DEE06,58.5
456,DEE07,73.2
457,DEE08,130.8
458,DEE09,105.1
459,DEE0A,99.1
460,DEE0B,133.5
461,DEE0C,140.5
462,DEE0D,48.1
463,DEE0E,67.8
464,DEF01,1479.5
465,DEF02,2071.3
466,DEF03,1124.7
467,DEF04,1104.6
468,DEF05,94.9
469,DEF06,155.1
470,DEF07,78.9
471,DEF08,145.7
472,DEF09,472.9
473,DEF0A,128.2
474,DEF0B,125.4
475,DEF0C,94.9
476,DEF0D,198.4
477,DEF0E,128.1
478,DEF0F,308.5
479,DEG01,769.8
480,DEG02,623.3
