GEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AT315,0,225597,226063,226383,226983,227903,228960,229218,229254,229446,229319,229302,229786,230196,231037,232496,235031,236064,236572
AT32,512854,514851,517050,517084,519691,522369,524920,526048,525944,526699,526730,527886,529704,531898,534270,538575,545815,549263,552579
AT321,0,21366,21313,21177,21156,21179,21078,21056,21017,20889,20919,20827,20751,20668,20450,20458,20547,20426,20344
AT322,0,161842,161909,161948,162433,162841,163271,162962,162787,162471,162245,162391,162816,163125,163578,164390,166024,166795,167438
AT323,0,331643,333828,333959,336102,338349,340571,342030,342140,343339,343566,344668,346137,348105,350242,353727,359244,362042,364797
AT33,667459,671492,675701,679457,683639,688954,694253,697253,699588,702502,704662,707517,711581,715888,722038,728826,739139,746153,751140
AT331,0,31492,31578,31719,31717,31795,31766,31778,31837,31761,31676,31607,31654,31647,31672,31691,32036,32399,32532
AT332,0,266680,268356,269409,271231,273919,276604,278503,279509,281024,282833,284514,286877,290412,294259,299006,305226,308290,310297
AT333,0,50403,50365,50202,50199,50326,50430,50468,50209,49881,49662,49453,49329,49071,48990,48896,49026,48879,48833
AT334,0,95841,96802,97750,98720,99017,99863,99644,100384,100762,100795,101091,101428,101074,101177,101547,102419,103190,103949
AT335,0,227076,228600,230377,231772,233897,235590,236860,237649,239074,239696,240852,242293,243684,245940,247686,250432,253395,255529
AT34,348366,350129,352574,354605,357068,360054,362630,364269,365578,367056,368366,369300,370926,372603,375282,378592,384147,388752,391741
AT341,0,86510,87154,87370,87830,88406,88763,88728,88331,88332,88239,87874,87863,87792,87974,88571,89934,90847,91399
AT342,0,263619,265420,267235,269238,271648,273867,275541,277247,278724,280127,281426,283063,284811,287308,290021,294213,297905,300342
BE,10239085,10263414,10309725,10355844,10396421,10445852,10511382,10584534,10666866,10753080,10839905,11000638,11075889,11137974,11180840,11237274,11311117,11351727,11398589
BE1,959318,964405,978384,992041,999899,1006749,1018804,1031215,1048491,1068532,1089538,1136778,1151317,1165208,1172751,1184101,1201285,1199095,1205492
BE10,959318,964405,978384,992041,999899,1006749,1018804,1031215,1048491,1068532,1089538,1136778,1151317,1165208,1172751,1184101,1201285,1199095,1205492
BE100,959318,964405,978384,992041,999899,1006749,1018804,1031215,1048491,1068532,1089538,1136778,1151317,1165208,1172751,1184101,1201285,1199095,1205492
BE2,5940251,5952552,5972781,5995553,6016024,6043161,6078600,6117440,6161600,6208877,6251983,6325740,6365555,6396242,6421947,6453009,6491999,6526061,6559294
BE21,1643972,1645652,1652450,1661119,1668812,1676858,1688493,1700570,1715707,1731174,1744862,1773267,1787490,1798605,1806634,1817033,1828927,1838863,1849523
BE211,932103,931567,935381,940681,944921,948858,954680,961131,969563,977612,985332,1005002,1014016,1020901,1024987,1030055,1036031,1041811,1047030
BE212,305670,306413,307433,308665,309865,311472,314243,316224,319107,321788,324311,327928,329885,331806,333592,335794,337680,340671,343101
BE213,406199,407672,409636,411773,414026,416528,419570,423215,427037,431774,435219,440337,443589,445898,448055,451184,455216,456381,459392
BE22,791178,794785,798583,802528,805786,809942,814658,820272,826690,833160,838505,846851,851558,855213,857844,861380,866970,869664,872739
BE221,382981,384503,386283,388469,390212,392451,395032,398055,401919,405542,408370,412907,415593,417730,419302,421507,424695,426140,427695
BE222,218733,220231,221580,222793,223902,225323,226603,228034,229441,231326,232735,234567,235748,236838,237584,238494,240241,240802,241350
BE223,189464,190051,190720,191266,191672,192168,193023,194183,195330,196292,197400,199377,200217,200645,200958,201379,202034,202722,203694
BE23,1361623,1363672,1366652,1370136,1373720,1380072,1389450,1398253,1408484,1420415,1432326,1448928,1457428,1463614,1471126,1479049,1489084,1498483,1506232
BE231,262294,262337,262193,262542,262945,263914,265665,267274,269489,271466,273544,276973,279054,280845,282457,283885,285328,287018,289279
BE232,186484,186553,186988,186991,187328,187783,188882,189638,190338,191527,192521,194310,195642,196241,197260,197945,198841,199772,200423
BE233,79484,79428,79357,79374,79464,79671,80262,80547,80864,81422,81921,82741,83134,83259,83372,83755,83862,84308,84732
BE234,495368,496608,498631,500794,502492,505267,508996,512407,516609,521796,527248,534419,536794,538778,542030,545427,550863,554633,557050
BE235,114345,114390,114433,114609,114801,115379,116098,117125,118101,119140,119995,120700,121395,121865,122221,122732,123141,123415,123923
BE236,223648,224356,225050,225826,226690,228058,229547,231262,233083,235064,237097,239785,241409,242626,243786,245305,247049,249337,250825
BE24,1014704,1018403,1022821,1027839,1031904,1037786,1044133,1052467,1060232,1068838,1076924,1088692,1096284,1102907,1108408,1114590,1122600,1130644,1138546
BE241,558220,560138,563370,565759,568791,572697,576008,580407,584416,588743,593455,600350,605055,609754,613421,618154,623252,628001,632717
BE242,456484,458265,459451,462080,463113,465089,468125,472060,475816,480095,483469,488342,491229,493153,494987,496436,499348,502643,505829
BE25,1128774,1130040,1132275,1133931,1135802,1138503,1141866,1145878,1150487,1155290,1159366,1168002,1172795,1175903,1177935,1180957,1184418,1188407,1192254
BE251,270866,271437,272011,272305,272987,273613,274435,274772,275599,275974,276313,277889,279081,280121,279956,280535,280713,281564,282020
BE252,47992,48082,48036,48037,48109,48259,48357,48570,49012,49352,49675,50029,50330,50636,50755,50885,51079,51293,51449
BE253,104278,104320,104168,104168,104030,104272,104506,104798,105144,105508,105828,106449,106736,106545,106460,106506,106582,106556,106511
BE254,278311,277786,277893,277430,277126,277190,277515,278160,278672,280049,281112,283019,283858,284475,285149,285969,286983,288248,289349
BE255,142430,142946,143899,144903,145701,146496,147292,148325,149287,150291,150841,152571,153471,153597,154278,154924,155256,155982,156638
BE256,140465,140684,140949,141211,141306,141542,142060,142776,143616,144154,145024,146429,147130,147934,148531,149106,150052,150936,151962
BE257,88061,88034,88085,88192,88330,88527,88787,89178,89584,90042,90274,90947,91305,91592,91864,92042,92347,92546,92738
BE258,56371,56751,57234,57685,58213,58604,58914,59299,59573,59920,60299,60669,60884,61003,60942,60990,61406,61282,61587
BE3,3339516,3346457,3358560,3368250,3380498,3395942,3413978,3435879,3456775,3475671,3498384,3538120,3559017,3576524,3586142,3600164,3617833,3626571,3633803
BE31,349884,352018,355207,358012,360717,363776,366481,370460,373492,375645,379515,383648,386683,389308,391609,394344,397745,399735,401508
BE310,349884,352018,355207,358012,360717,363776,366481,370460,373492,375645,379515,383648,386683,389308,391609,394344,397745,399735,401508
BE32,1279467,1279823,1281042,1281706,1283200,1286275,1290079,1294844,1300097,1304436,1309880,1319745,1325819,1331455,1334423,1337780,1341267,1342053,1343756
BE321,79085,79372,79840,80147,80302,80567,81007,81825,82725,83129,83752,84571,85027,85409,85834,86187,86593,86762,86836
BE322,421059,420214,420590,420653,420528,421394,421801,422598,423204,424289,425110,428231,429720,430815,430402,430899,431693,431043,431398
BE323,249334,249153,248818,248832,249054,248986,249500,249878,250431,250684,251901,253751,254803,256157,257481,258320,258285,258721,258817
BE324,70056,70016,69737,69674,69719,69966,70387,70718,71411,71938,72380,73067,73902,74456,74700,75198,76086,75927,76276
BE325,173297,174142,174801,175357,176409,177398,178659,180154,181217,182155,183169,184411,185419,186783,187834,188678,189248,189978,190440
BE326,146086,146253,146426,146212,146211,146627,146977,147475,148178,148558,149082,150284,150950,151267,151386,151554,151943,152118,152284
BE327,140550,140673,140830,140831,140977,141337,141748,142196,142931,143683,144486,145430,145998,146568,146786,146944,147419,147504,147705
BE33,1019442,1020042,1024130,1025842,1029605,1034024,1040297,1047414,1053722,1060035,1067685,1082136,1088074,1093191,1095661,1098903,1103490,1106039,1108371
BE331,100020,100543,101224,102135,102709,103565,103972,104756,105770,106793,107832,109199,109959,110895,111522,112015,112674,112976,113165
BE332,585678,584398,585726,585444,587033,588287,590972,594579,597478,600269,604062,612363,615592,618934,620167,621764,623887,625131,626222
BE334,68198,68767,69380,69759,70497,71350,72267,73106,73905,74831,75588,76684,77396,78122,78477,78955,79569,80330,80969
BE335,0,0,0,0,197467,198310,199967,201298,202400,203602,204981,207631,208486,208648,208840,209429,210028,210298,210486
BE336,0,0,0,0,71899,72512,73119,73675,74169,74540,75222,76259,76641,76592,76655,76740,77332,77304,77529
BE34,246820,248750,250406,252295,254120,256004,258547,261178,264084,266950,269023,273205,275713,277690,278219,280261,283257,284617,285010
BE341,51902,52301,52749,53232,53648,54241,54911,55593,56392,57376,57850,58597,59289,59924,60330,60675,61186,62318,62520
BE342,40574,41103,41505,41906,42097,42466,42801,43444,44012,44555,45061,46003,46224,46686,46701,47210,48484,48745,48828
BE343,50359,50911,51101,51486,51998,52108,52806,53123,53593,54003,54214,55656,56014,56226,56079,56525,57122,56836,56870
BE344,55598,55743,56039,56331,56687,57231,57660,58151,58726,59385,59861,60460,61265,61691,61888,62500,62864,63162,63105
BE345,48387,48692,49012,49340,49690,49958,50369,50867,51361,51631,52037,52489,52921,53163,53221,53351,53601,53556,53687
BE35,443903,445824,447775,450395,452856,455863,458574,461983,465380,468605,472281,479386,482728,484880,486230,488876,492074,494127,495158
BE351,99683,100298,100719,101295,101705,102570,103118,104017,104719,105378,105998,108301,108863,109332,109031,109782,111128,111521,111566
BE352,282727,283793,285181,286930,288659,290576,292318,294320,296494,298835,301472,304968,307347,308970,310628,312113,313321,315190,316606
BE353,61493,61733,61875,62170,62492,62717,63138,63646,64167,64392,64811,66117,66518,66578,66571,66981,67625,67416,66986
BG,8190876,8149468,7868815,7805506,7745147,7688573,7629371,7572673,7518002,7467119,7421766,7369431,7327224,7284552,7245677,7202198,7153784,7101859,7050034
BG3,4364632,4328514,4169387,4115423,4064253,4017103,3968665,3922739,3878688,3836745,3798246,3755275,3724884,3693421,3664440,3631150,3596383,3560451,3524208
BG31,1081257,1067180,1015303,993778,973553,954395,934755,916308,898371,881573,865332,848230,836601,823469,810401,797142,783909,769623,755956
BG311,138794,136212,127020,123667,120630,117687,114695,111818,109146,106417,103836,101200,99481,97546,95467,93361,91235,88867,86927
BG312,191129,188464,178115,174164,170470,166876,163467,160139,156996,154088,151254,148263,145984,143662,141596,139350,137188,134669,132214
BG313,255589,253081,221636,217240,212948,208848,204870,201079,197421,193977,190606,187099,184662,181574,178395,175169,172007,168727,165645
BG314,319356,314965,322064,315473,309336,303760,297401,291695,285905,280660,275579,270115,266865,262969,259363,255749,251986,248138,244209
BG315,176389,174458,166468,163234,160169,157224,154322,151577,148903,146431,144057,141553,139609,137718,135580,133513,131493,129222,126961
BG32,1047670,1040117,982500,966969,952025,938073,923643,909962,897075,884857,873801,862120,853468,844511,835813,825536,815441,805441,794998
BG321,301284,298738,289505,285576,281698,277770,273859,270078,266888,263821,261441,258838,256279,253580,251126,247782,245006,242259,239132
BG322,153485,152317,142036,139624,137212,135101,132803,130706,128716,126654,124779,122842,121389,119971,118271,116351,114272,112334,110254
BG323,275538,273234,262576,259036,255670,252717,249467,246494,243580,240808,238173,235477,233767,231580,229784,227685,225674,223489,221336
BG324,164971,164001,149093,146056,143164,140433,137714,135080,132438,130097,127825,125369,123600,122166,120594,119048,117241,115402,113714
BG325,152392,151827,139290,136677,134281,132052,129800,127604,125453,123477,121583,119594,118433,117214,116038,114670,113248,111957,110562
BG33,1026019,1017848,1013873,1007579,1001647,996533,991217,986125,981143,976062,971932,966328,961965,957460,954536,949957,944458,939262,933705
BG331,440563,435524,463883,465035,466366,467632,468834,470123,471315,472503,474004,474776,474344,473415,474076,473804,472926,472654,472120
BG332,225978,224636,212386,209380,206487,204037,201622,199138,196852,194519,192296,189862,188088,186445,184680,182808,180601,178438,176145
BG333,214877,213934,201861,199233,196797,194506,192040,189716,187476,185108,183090,180710,179668,178814,178061,176925,175720,174476,172966
BG334,144601,143754,135743,133931,131997,130358,128721,127148,125500,123932,122542,120980,119865,118786,117719,116420,115211,113694,112474
BG34,1209686,1203369,1157711,1147097,1137028,1128102,1119050,1110344,1102099,1094253,1087181,1078597,1072850,1067981,1063690,1058515,1052575,1046125,1039549
BG341,427152,425366,422575,421288,420360,419631,418884,418229,417668,417082,416880,415909,414947,414154,414485,414184,413884,412684,411579
BG342,229690,228611,216041,213572,211253,209284,207210,205246,203437,201521,199784,197640,196712,195345,193925,192644,191185,189788,188433
