GEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AL011,,,,,,,,,,,,,140956.0,137722.0,134332.0,131054.0,129056.0,125579.0,120978.0
AL012,,,,,,,,,,,,,271947.0,274029.0,276058.0,277989.0,280205.0,284823.0,289626.0
AL013,,,,,,,,,,,,,87762.0,86082.0,84306.0,82428.0,81294.0,79559.0,77395.0
AL014,,,,,,,,,,,,,137782.0,135703.0,133748.0,131829.0,130258.0,129019.0,126800.0
AL015,,,,,,,,,,,,,222611.0,219548.0,216477.0,213148.0,210168.0,207924.0,204994.0
AL021,,,,,,,,,,,,,302863.0,298995.0,294938.0,290666.0,287606.0,283822.0,278548.0
AL022,,,,,,,,,,,,,780905.0,798263.0,816222.0,834151.0,842981.0,862361.0,883996.0
AL031,,,,,,,,,,,,,146736.0,143856.0,141114.0,138365.0,135441.0,131942.0,127432.0
AL032,,,,,,,,,,,,,320789.0,316599.0,312248.0,308014.0,305108.0,302507.0,298144.0
AL033,,,,,,,,,,,,,76054.0,73753.0,71567.0,69557.0,68020.0,65939.0,62951.0
AL034,,,,,,,,,,,,,228118.0,225634.0,223029.0,220196.0,217422.0,214321.0,210179.0
AL035,,,,,,,,,,,,,186485.0,187586.0,188355.0,188399.0,188033.0,188795.0,189281.0
AT111,,37732.0,37778.0,37703.0,37640.0,37522.0,37413.0,37481.0,37438.0,37472.0,37526.0,37505.0,37561.0,37565.0,37534.0,37622.0,37692.0,37752.0,37661.0
AT112,,140421.0,141050.0,141361.0,141963.0,143094.0,144205.0,145118.0,146279.0,147634.0,148576.0,149522.0,150500.0,151596.0,152539.0,153637.0,155809.0,156735.0,157840.0
AT113,,97803.0,97845.0,97478.0,97189.0,97416.0,97509.0,97463.0,97260.0,97671.0,97595.0,97554.0,97721.0,97530.0,97343.0,97097.0,97510.0,97455.0,97174.0
AT121,,237415.0,237739.0,237500.0,237979.0,239038.0,240185.0,240622.0,240906.0,241450.0,241155.0,240997.0,240979.0,241246.0,241727.0,242689.0,244431.0,245671.0,246050.0
AT122,,245171.0,246169.0,246770.0,248064.0,249588.0,250946.0,251528.0,251663.0,252245.0,252390.0,252671.0,253092.0,253224.0,254011.0,255720.0,258132.0,259655.0,259630.0
AT123,,141751.0,142342.0,142873.0,143880.0,145251.0,146327.0,146933.0,147367.0,147776.0,148000.0,148244.0,148511.0,148861.0,149510.0,150657.0,152576.0,154045.0,154885.0
AT124,,224073.0,223385.0,222866.0,222360.0,222146.0,222076.0,221515.0,221077.0,220787.0,220051.0,219464.0,219354.0,218676.0,218249.0,218129.0,219219.0,219513.0,218161.0
AT125,,123251.0,123320.0,123265.0,123163.0,123368.0,123617.0,123691.0,123781.0,123915.0,123744.0,123520.0,123374.0,123111.0,123141.0,123544.0,124281.0,124939.0,124893.0
AT126,,275861.0,277948.0,279984.0,283012.0,286609.0,290673.0,294379.0,298120.0,301675.0,303609.0,306061.0,308200.0,310090.0,312952.0,316251.0,320370.0,323987.0,327072.0
AT127,,291894.0,293764.0,296011.0,298833.0,302949.0,306677.0,309899.0,312589.0,315110.0,316948.0,318517.0,320945.0,323384.0,325895.0,329788.0,334682.0,337943.0,339977.0
AT130,1548537.0,1553956.0,1571123.0,1592846.0,1610410.0,1632569.0,1652449.0,1661246.0,1671221.0,1680135.0,1689995.0,1702855.0,1717084.0,1741246.0,1766746.0,1797337.0,1840226.0,1867582.0,1888776.0
AT211,,268789.0,269612.0,269590.0,269828.0,271119.0,272384.0,273328.0,274537.0,275475.0,275707.0,276005.0,276915.0,277846.0,279347.0,281395.0,283941.0,285523.0,286579.0
AT212,,131618.0,131654.0,131153.0,130918.0,130848.0,130287.0,129931.0,129632.0,129117.0,128387.0,127649.0,126936.0,126187.0,125600.0,125338.0,125474.0,124975.0,124389.0
AT213,,159164.0,158667.0,157880.0,157280.0,156959.0,156606.0,156134.0,155546.0,154870.0,153904.0,153064.0,152176.0,151440.0,150934.0,150908.0,151067.0,150579.0,149930.0
AT221,,356285.0,364679.0,368327.0,372013.0,377444.0,382377.0,386423.0,390138.0,393586.0,396995.0,401229.0,405473.0,410094.0,415657.0,421304.0,429088.0,434969.0,439236.0
AT222,,82124.0,81873.0,81387.0,81186.0,81166.0,81042.0,80957.0,80541.0,80379.0,79969.0,79620.0,79297.0,79040.0,78893.0,79574.0,79860.0,80011.0,80082.0
AT223,,176447.0,174997.0,173680.0,172903.0,171971.0,171415.0,170113.0,168976.0,167991.0,166634.0,165505.0,164468.0,163272.0,162626.0,161767.0,161907.0,160777.0,159888.0
AT224,,267833.0,267753.0,267845.0,268057.0,268251.0,268382.0,268212.0,268060.0,267583.0,267150.0,266831.0,266662.0,266394.0,266450.0,264950.0,265794.0,266343.0,266518.0
AT225,,190176.0,190038.0,190046.0,190395.0,190722.0,190872.0,190658.0,190560.0,190506.0,190325.0,190155.0,190020.0,189889.0,189839.0,192555.0,193823.0,194192.0,194100.0
AT226,,109576.0,108777.0,108030.0,107614.0,107226.0,106766.0,106120.0,105426.0,104750.0,103972.0,103271.0,102776.0,102282.0,101781.0,101420.0,101540.0,101006.0,100390.0
AT311,,271287.0,272316.0,272695.0,273030.0,273848.0,274272.0,274406.0,274784.0,275370.0,275043.0,275045.0,275410.0,276102.0,276781.0,278909.0,281728.0,284192.0,286047.0
AT312,,523150.0,524856.0,528745.0,532296.0,536527.0,540016.0,542746.0,544613.0,546609.0,548003.0,549314.0,552172.0,555811.0,560587.0,567637.0,575644.0,581728.0,587029.0
AT313,,201193.0,202144.0,202397.0,202588.0,203425.0,203743.0,203964.0,204092.0,204230.0,204071.0,203954.0,204184.0,204242.0,204708.0,205212.0,207282.0,208083.0,208483.0
AT314,,151907.0,152423.0,152312.0,152591.0,153023.0,153296.0,153329.0,153019.0,152964.0,152817.0,152607.0,152314.0,152147.0,152309.0,152997.0,154263.0,154978.0,155445.0
AT315,,225597.0,226063.0,226383.0,226983.0,227903.0,228960.0,229218.0,229254.0,229446.0,229319.0,229302.0,229786.0,230196.0,231037.0,232496.0,235031.0,236064.0,236572.0
AT321,,21366.0,21313.0,21177.0,21156.0,21179.0,21078.0,21056.0,21017.0,20889.0,20919.0,20827.0,20751.0,20668.0,20450.0,20458.0,20547.0,20426.0,20344.0
AT322,,161842.0,161909.0,161948.0,162433.0,162841.0,163271.0,162962.0,162787.0,162471.0,162245.0,162391.0,162816.0,163125.0,163578.0,164390.0,166024.0,166795.0,167438.0
AT323,,331643.0,333828.0,333959.0,336102.0,338349.0,340571.0,342030.0,342140.0,343339.0,343566.0,344668.0,346137.0,348105.0,350242.0,353727.0,359244.0,362042.0,364797.0
AT331,,31492.0,31578.0,31719.0,31717.0,31795.0,31766.0,31778.0,31837.0,31761.0,31676.0,31607.0,31654.0,31647.0,31672.0,31691.0,32036.0,32399.0,32532.0
AT332,,266680.0,268356.0,269409.0,271231.0,273919.0,276604.0,278503.0,279509.0,281024.0,282833.0,284514.0,286877.0,290412.0,294259.0,299006.0,305226.0,308290.0,310297.0
AT333,,50403.0,50365.0,50202.0,50199.0,50326.0,50430.0,50468.0,50209.0,49881.0,49662.0,49453.0,49329.0,49071.0,48990.0,48896.0,49026.0,48879.0,48833.0
AT334,,95841.0,96802.0,97750.0,98720.0,99017.0,99863.0,99644.0,100384.0,100762.0,100795.0,101091.0,101428.0,101074.0,101177.0,101547.0,102419.0,103190.0,103949.0
AT335,,227076.0,228600.0,230377.0,231772.0,233897.0,235590.0,236860.0,237649.0,239074.0,239696.0,240852.0,242293.0,243684.0,245940.0,247686.0,250432.0,253395.0,255529.0
AT341,,86510.0,87154.0,87370.0,87830.0,88406.0,88763.0,88728.0,88331.0,88332.0,88239.0,87874.0,87863.0,87792.0,87974.0,88571.0,89934.0,90847.0,91399.0
AT342,,263619.0,265420.0,267235.0,269238.0,271648.0,273867.0,275541.0,277247.0,278724.0,280127.0,281426.0,283063.0,284811.0,287308.0,290021.0,294213.0,297905.0,300342.0
BE100,959318.0,964405.0,978384.0,992041.0,999899.0,1006749.0,1018804.0,1031215.0,1048491.0,1068532.0,1089538.0,1136778.0,1151317.0,1165208.0,1172751.0,1184101.0,1201285.0,1199095.0,1205492.0
BE211,932103.0,931567.0,935381.0,940681.0,944921.0,948858.0,954680.0,961131.0,969563.0,977612.0,985332.0,1005002.0,1014016.0,1020901.0,1024987.0,1030055.0,1036031.0,1041811.0,1047030.0
BE212,305670.0,306413.0,307433.0,308665.0,309865.0,311472.0,314243.0,316224.0,319107.0,321788.0,324311.0,327928.0,329885.0,331806.0,333592.0,335794.0,337680.0,340671.0,343101.0
BE213,406199.0,407672.0,409636.0,411773.0,414026.0,416528.0,419570.0,423215.0,427037.0,431774.0,435219.0,440337.0,443589.0,445898.0,448055.0,451184.0,455216.0,456381.0,459392.0
BE221,382981.0,384503.0,386283.0,388469.0,390212.0,392451.0,395032.0,398055.0,401919.0,405542.0,408370.0,412907.0,415593.0,417730.0,419302.0,421507.0,424695.0,426140.0,427695.0
